idx,text,label,Segment,WC,Analytic,Clout,Authentic,Tone,WPS,BigWords,Dic,Linguistic,function,pronoun,ppron,i,we,you,shehe,they,ipron,det,article,number,prep,auxverb,adverb,conj,negate,verb,adj,quantity,Drives,affiliation,achieve,power,Cognition,allnone,cogproc,insight,cause,discrep,tentat,certitude,differ,memory,Affect,tone_pos,tone_neg,emotion,emo_pos,emo_neg,emo_anx,emo_anger,emo_sad,swear,Social,socbehav,prosocial,polite,conflict,moral,comm,socrefs,family,friend,female,male,Culture,politic,ethnicity,tech,Lifestyle,leisure,home,work,money,relig,Physical,health,illness,wellness,mental,substances,sexual,food,death,need,want,acquire,lack,fulfill,fatigue,reward,risk,curiosity,allure,Perception,attention,motion,space,visual,auditory,feeling,time,focuspast,focuspresent,focusfuture,Conversation,netspeak,assent,nonflu,filler,AllPunc,Period,Comma,QMark,Exclam,Apostro,OtherP
20,im not sure the feeling of loss will ever go away but it may dull to a sweet feeling of nostalgia at what i shared in this life with my dad and the luck i had to have a dad for years,0,1,42,76.24,2.06,99,20.23,42,7.14,100,80.95,66.67,16.67,9.52,9.52,0,0,0,0,7.14,14.29,9.52,0,21.43,11.9,2.38,4.76,2.38,19.05,4.76,2.38,7.14,7.14,0,0,19.05,2.38,16.67,4.76,0,0,7.14,0,4.76,2.38,11.9,4.76,4.76,2.38,0,0,0,0,0,0,9.52,2.38,0,0,0,0,0,4.76,4.76,0,0,4.76,0,0,0,0,0,0,0,0,0,0,2.38,0,0,0,0,0,0,2.38,0,4.76,0,0,0,0,0,0,4.76,0,7.14,14.29,0,2.38,7.14,0,0,4.76,4.76,7.14,2.38,4.76,0,0,0,0,0,0,0,0,0,0,0,0
21,i feel like ive gotten to know many of you through comments and emails and for that im appreciative and glad you are a part of this little space,1,1,29,37.7,40.06,95.69,98.26,29,10.34,96.55,86.21,65.52,24.14,17.24,10.34,0,6.9,0,0,6.9,13.79,3.45,0,20.69,10.34,0,10.34,0,20.69,10.34,10.34,0,0,0,0,13.79,0,13.79,10.34,0,0,0,0,3.45,0,6.9,6.9,0,6.9,6.9,0,0,0,0,0,13.79,6.9,3.45,0,0,0,3.45,6.9,0,0,0,0,3.45,0,0,3.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.45,0,0,0,0,0,0,10.34,6.9,0,0,3.45,0,0,3.45,0,6.9,10.34,0,0,0,0,0,0,0,0,0,0,0,0,0
22,i survey my own posts over the last few years and only feel pleased with vague snippets of a few of them only feel that little bits of them capture what its like to be me or someone like me in dublin in the st century,1,1,46,82.28,18.24,96.69,53.96,46,10.87,89.13,80.43,65.22,21.74,13.04,8.7,0,0,0,4.35,8.7,17.39,6.52,0,21.74,2.17,4.35,4.35,0,6.52,15.22,10.87,4.35,0,0,4.35,10.87,0,10.87,4.35,0,0,6.52,0,2.17,0,2.17,2.17,0,2.17,2.17,0,0,0,0,0,8.7,2.17,0,0,0,0,2.17,6.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.17,0,0,0,0,0,0,8.7,10.87,0,0,6.52,0,0,4.35,6.52,0,4.35,0,0,0,0,0,0,0,0,0,0,0,0,0
23,i also tell you in hopes that anyone who is still feeling stigmatized or ashamed of their mental health issues will let go of the stigma let go of the shame,0,1,31,41.62,88.59,79.1,1.4,31,9.68,90.32,77.42,54.84,19.35,12.9,3.23,0,3.23,0,3.23,6.45,12.9,6.45,0,12.9,6.45,6.45,6.45,0,25.81,0,0,3.23,0,0,3.23,16.13,0,16.13,3.23,0,3.23,9.68,0,3.23,0,9.68,3.23,6.45,9.68,3.23,6.45,0,0,0,0,19.35,6.45,0,0,0,3.23,3.23,12.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.45,6.45,0,0,6.45,0,0,0,0,0,3.23,0,0,0,0,0,0,0,9.68,12.9,0,6.45,9.68,0,0,3.23,0,0,6.45,6.45,0,0,0,0,0,0,0,0,0,0,0,0
24,i don t feel guilty like i m not going to be able to cook for him,0,1,17,79.1,1,83.69,1,17,0,82.35,64.71,52.94,17.65,17.65,11.76,0,0,5.88,0,0,0,0,0,23.53,5.88,0,0,5.88,23.53,0,0,5.88,0,5.88,0,17.65,0,17.65,11.76,0,0,0,0,5.88,0,11.76,0,11.76,11.76,0,11.76,0,0,11.76,0,5.88,0,0,0,0,0,0,5.88,0,0,0,5.88,0,0,0,0,0,0,0,0,0,0,5.88,0,0,0,0,0,0,5.88,0,0,0,0,0,0,0,0,0,0,5.88,0,0,0,0,0,0,0,0,0,11.76,11.76,0,0,0,0,0,0,0,0,0,0,0,0
25,i hate it when i feel fearful for absolutely no reason,4,1,11,1,1,99,1,11,18.18,100,90.91,63.64,27.27,18.18,18.18,0,0,0,0,9.09,9.09,0,0,9.09,0,18.18,9.09,9.09,18.18,9.09,0,0,0,0,0,36.36,9.09,27.27,18.18,9.09,0,0,9.09,0,0,18.18,0,18.18,18.18,0,18.18,9.09,9.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.18,9.09,0,0,0,0,0,9.09,9.09,0,9.09,0,9.09,0,9.09,0,0,0,0,0,0,0,0,0
26,i am feeling outraged it shows everywhere,3,1,7,1,1,99,1,7,42.86,85.71,57.14,57.14,28.57,14.29,14.29,0,0,0,0,14.29,0,0,0,0,14.29,14.29,0,0,14.29,0,0,0,0,0,0,28.57,14.29,14.29,14.29,0,0,0,0,0,0,14.29,0,14.29,14.29,0,14.29,0,14.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.57,0,0,14.29,0,0,14.29,0,0,14.29,0,0,0,0,0,0,0,0,0,0,0,0,0
27,i stole a book from one of my all time favorite authors and now i feel like a rotten person,0,1,20,89.52,3.95,89.39,20.23,20,10,95,80,60,15,15,15,0,0,0,0,0,25,10,5,15,0,5,5,0,10,10,10,0,0,0,0,10,5,5,5,0,0,0,0,0,0,10,5,5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,20,5,0,0,0,0,0,5,5,5,10,0,0,0,0,0,0,0,0,0,0,0,0,0
28,i do feel insecure sometimes but who doesnt,4,1,8,1,1,99,1,8,25,100,87.5,62.5,25,25,12.5,0,0,0,0,0,0,0,0,0,25,0,12.5,12.5,37.5,12.5,0,0,0,0,0,37.5,0,37.5,12.5,0,0,12.5,0,12.5,0,12.5,0,12.5,12.5,0,12.5,12.5,0,0,0,12.5,0,0,0,0,0,0,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.5,12.5,0,0,0,0,0,12.5,12.5,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0
29,i highly recommend visiting on a wednesday if youre able because its less crowded so you get to ask the farmers more questions without feeling rude for holding up a line,3,1,31,77.83,59.25,97.57,20.23,31,32.26,90.32,70.97,54.84,12.9,9.68,3.23,0,6.45,0,0,3.23,19.35,9.68,0,16.13,3.23,6.45,9.68,0,12.9,9.68,6.45,3.23,0,3.23,0,16.13,0,16.13,6.45,3.23,0,6.45,0,6.45,0,6.45,3.23,3.23,3.23,0,3.23,0,3.23,0,0,19.35,12.9,0,0,3.23,0,3.23,6.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.23,0,0,0,0,0,0,3.23,12.9,0,0,9.68,0,0,3.23,3.23,0,3.23,0,0,0,0,0,0,0,0,0,0,0,0,0
30,ive been missing him and feeling so restless at home thinking of him,4,1,13,1.3,81.78,30.98,1,13,30.77,92.31,76.92,61.54,23.08,23.08,7.69,0,0,15.38,0,0,0,0,0,15.38,15.38,7.69,15.38,0,23.08,7.69,0,0,0,0,0,15.38,0,15.38,15.38,0,0,0,0,0,0,7.69,0,7.69,7.69,0,7.69,7.69,0,0,0,15.38,0,0,0,0,0,0,15.38,0,0,0,15.38,0,0,0,0,7.69,0,7.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.38,0,0,7.69,0,0,7.69,0,15.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,i posted on my facebook page earlier this week ive been feeling a little grumpy and out of sorts the past few days,3,1,23,72.44,1.4,99,1,23,13.04,91.3,78.26,52.17,17.39,13.04,13.04,0,0,0,0,4.35,21.74,8.7,0,13.04,8.7,0,4.35,0,13.04,17.39,17.39,0,0,0,0,8.7,0,8.7,4.35,0,0,4.35,0,0,0,4.35,0,4.35,4.35,0,4.35,0,0,0,0,4.35,4.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.35,8.7,0,0,4.35,0,0,4.35,17.39,21.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,i start to feel emotional,0,1,5,89.52,1,99,20.23,5,20,100,100,40,20,20,20,0,0,0,0,0,0,0,0,20,0,0,0,0,40,20,0,0,0,0,0,20,0,20,20,0,0,0,0,0,0,20,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,20,0,0,0,0,0,20,20,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0
33,i feel so cold a href http irish,3,1,8,26.1,1.71,89.39,20.23,8,0,87.5,62.5,37.5,12.5,12.5,12.5,0,0,0,0,0,12.5,12.5,0,0,0,12.5,12.5,0,12.5,12.5,0,0,0,0,0,12.5,0,12.5,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,12.5,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.5,25,0,0,0,0,0,25,0,0,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0
34,i feel like i m defective or something for not having baby fever,0,1,13,14.06,1,99,20.23,13,15.38,84.62,69.23,61.54,23.08,15.38,15.38,0,0,0,0,7.69,0,0,0,15.38,7.69,0,7.69,7.69,15.38,0,0,0,0,0,0,30.77,0,30.77,7.69,0,0,15.38,0,15.38,0,0,0,0,0,0,0,0,0,0,0,7.69,0,0,0,0,0,0,7.69,7.69,0,0,0,0,0,0,0,0,0,0,0,0,0,7.69,7.69,7.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.38,7.69,0,0,0,0,0,7.69,0,0,7.69,0,0,0,0,0,0,0,0,0,0,0,0,0
35,i feel more virtuous than when i eat veggies dipped in hummus,1,1,12,26.1,1,99,99,12,16.67,91.67,66.67,50,16.67,16.67,16.67,0,0,0,0,0,8.33,0,0,16.67,0,8.33,16.67,0,16.67,8.33,8.33,0,0,0,0,16.67,0,16.67,8.33,0,0,0,0,8.33,0,8.33,8.33,0,0,0,0,0,0,0,0,8.33,8.33,0,0,0,8.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,8.33,16.67,0,0,8.33,0,0,8.33,8.33,0,8.33,0,0,0,0,0,0,0,0,0,0,0,0,0
36,i feel very honoured to be included in a magzine which prioritises health and clean living so highly im curious do any of you read magazines concerned with health and clean lifestyles such as the green parent,1,1,37,51.04,40.06,55.76,93.12,37,21.62,86.49,72.97,51.35,10.81,8.11,5.41,0,2.7,0,0,2.7,10.81,5.41,0,13.51,8.11,5.41,10.81,0,18.92,10.81,0,5.41,2.7,2.7,0,13.51,0,13.51,5.41,0,0,2.7,0,2.7,0,8.11,5.41,0,2.7,0,0,0,0,0,0,8.11,2.7,0,2.7,0,2.7,0,5.41,2.7,0,0,0,0,0,0,0,0,0,0,0,0,0,8.11,5.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.7,8.11,10.81,0,0,5.41,2.7,0,2.7,0,2.7,5.41,0,0,0,0,0,0,0,0,0,0,0,0,0
37,i spent the last two weeks of school feeling miserable,0,1,10,97.77,3.95,99,1,10,20,100,70,40,10,10,10,0,0,0,0,0,20,10,10,10,0,0,0,0,10,10,20,0,0,0,0,10,0,10,10,0,0,0,0,0,0,10,0,10,10,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,10,20,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,im feeling very peaceful about our wedding again now after having,1,1,11,1,99,99,99,11,27.27,100,81.82,72.73,18.18,18.18,9.09,9.09,0,0,0,0,9.09,0,0,18.18,18.18,36.36,9.09,0,18.18,9.09,0,18.18,18.18,0,0,9.09,0,9.09,9.09,0,0,0,0,0,0,9.09,9.09,0,0,0,0,0,0,0,0,18.18,9.09,0,0,0,0,0,18.18,9.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.09,9.09,0,0,0,0,0,9.09,27.27,0,18.18,0,0,0,0,0,0,0,0,0,0,0,0,0
